FIPS,COUNTY,STATE,Assmt,Deed,Sam
01001,AUTAUGA,AL,Y,Y,Y
01003,BALDWIN,AL,Y,Y,Y
01005,BARBOUR,AL,Y,Y,Y
01007,BIBB,AL,Y,Y,Y
01009,BLOUNT,AL,Y,Y,Y
01011,BULLOCK,AL,Y,Y,Y
01013,BUTLER,AL,Y,Y,Y
01015,CALHOUN,AL,Y,Y,Y
01017,CHAMBERS,AL,Y,Y,Y
01019,CHEROKEE,AL,Y,Y,Y
01021,CHILTON,AL,Y,Y,Y
01023,CHOCTAW,AL,Y,Y,Y
01025,CLARKE,AL,Y,Y,Y
01027,CLAY,AL,Y,Y,Y
01029,CLEBURNE,AL,Y,Y,Y
01031,COFFEE,AL,Y,Y,Y
01033,COLBERT,AL,Y,Y,Y
01035,CONECUH,AL,Y,Y,Y
01037,COOSA,AL,Y,Y,Y
01039,COVINGTON,AL,Y,Y,Y
01041,CRENSHAW,AL,Y,Y,Y
01043,CULLMAN,AL,Y,Y,Y
01045,DALE,AL,Y,Y,Y
01047,DALLAS,AL,Y,Y,Y
01049,DEKALB,AL,Y,Y,Y
01051,ELMORE,AL,Y,Y,Y
01053,ESCAMBIA,AL,Y,Y,Y
01055,ETOWAH,AL,Y,Y,Y
01057,FAYETTE,AL,Y,Y,Y
01059,FRANKLIN,AL,Y,Y,Y
01061,GENEVA,AL,Y,Y,Y
01063,GREENE,AL,Y,Y,Y
01065,HALE,AL,Y,Y,Y
01067,HENRY,AL,Y,Y,Y
01069,HOUSTON,AL,Y,Y,Y
01071,JACKSON,AL,Y,Y,Y
01073,JEFFERSON,AL,Y,Y,Y
01075,LAMAR,AL,Y,Y,Y
01077,LAUDERDALE,AL,Y,Y,Y
01079,LAWRENCE,AL,Y,Y,Y
01081,LEE,AL,Y,Y,Y
01083,LIMESTONE,AL,Y,Y,Y
01085,LOWNDES,AL,Y,Y,Y
01087,MACON,AL,Y,Y,Y
01089,MADISON,AL,Y,Y,Y
01091,MARENGO,AL,Y,Y,Y
01093,MARION,AL,Y,Y,Y
01095,MARSHALL,AL,Y,Y,Y
01097,MOBILE,AL,Y,Y,Y
01099,MONROE,AL,Y,Y,Y
01101,MONTGOMERY,AL,Y,Y,Y
01103,MORGAN,AL,Y,Y,Y
01105,PERRY,AL,Y,Y,Y
01107,PICKENS,AL,Y,Y,Y
01109,PIKE,AL,Y,Y,Y
01111,RANDOLPH,AL,Y,Y,Y
01113,RUSSELL,AL,Y,Y,Y
01115,ST CLAIR,AL,Y,Y,Y
01117,SHELBY,AL,Y,Y,Y
01119,SUMTER,AL,Y,Y,Y
01121,TALLADEGA,AL,Y,Y,Y
01123,TALLAPOOSA,AL,Y,Y,Y
01125,TUSCALOOSA,AL,Y,Y,Y
01127,WALKER,AL,Y,Y,Y
01129,WASHINGTON,AL,Y,Y,Y
01131,WILCOX,AL,Y,Y,Y
01133,WINSTON,AL,Y,Y,Y
02013,ALEUTIANS EAST,AK,Y,Y,Y
02016,ALEUTIANS WEST,AK,Y,Y,Y
02020,ANCHORAGE,AK,Y,Y,Y
02050,BETHEL,AK,Y,Y,Y
02060,BRISTOL BAY,AK,Y,Y,Y
02068,DENALI,AK,Y,Y,Y
02070,DILLINGHAM,AK,Y,Y,Y
02090,FAIRBANKS NORTH STAR,AK,Y,Y,Y
02100,HAINES,AK,Y,Y,Y
02105,HOONAH-ANGOON,AK,Y,Y,Y
02110,JUNEAU,AK,Y,Y,Y
02122,KENAI PENINSULA,AK,Y,Y,Y
02130,KETCHIKAN GATEWAY,AK,Y,Y,Y
02150,KODIAK ISLAND,AK,Y,Y,Y
02164,LAKE AND PENINSULA,AK,Y,Y,Y
02170,MATANUSKA-SUSITNA,AK,Y,Y,Y
02180,NOME,AK,Y,Y,Y
02185,NORTH SLOPE,AK,Y,Y,Y
02188,NORTHWEST ARCTIC,AK,Y,Y,Y
02195,PETERSBURG,AK,Y,Y,Y
02198,PRINCE OF WALES-HYDER,AK,Y,Y,Y
02220,SITKA,AK,Y,Y,Y
02230,SKAGWAY,AK,Y,Y,Y
02240,SOUTHEAST FAIRBANKS,AK,Y,Y,Y
02261,VALDEZ-CORDOVA,AK,Y,Y,Y
02270,WADE HAMPTON,AK,Y,Y,Y
02275,WRANGELL,AK,Y,Y,Y
02282,YAKUTAT,AK,Y,Y,Y
02290,YUKON-KOYUKUK,AK,Y,Y,Y
04001,APACHE,AZ,Y,Y,Y
04003,COCHISE,AZ,Y,Y,Y
04005,COCONINO,AZ,Y,Y,Y
04007,GILA,AZ,Y,Y,Y
04009,GRAHAM,AZ,Y,Y,Y
04011,GREENLEE,AZ,Y,Y,Y
04012,LA PAZ,AZ,Y,Y,Y
04013,MARICOPA,AZ,Y,Y,Y
04015,MOHAVE,AZ,Y,Y,Y
04017,NAVAJO,AZ,Y,Y,Y
04019,PIMA,AZ,Y,Y,Y
04021,PINAL,AZ,Y,Y,Y
04023,SANTA CRUZ,AZ,Y,Y,Y
04025,YAVAPAI,AZ,Y,Y,Y
04027,YUMA,AZ,Y,Y,Y
05001,ARKANSAS,AR,Y,Y,Y
05003,ASHLEY,AR,Y,Y,Y
05005,BAXTER,AR,Y,Y,Y
05007,BENTON,AR,Y,Y,Y
05009,BOONE,AR,Y,Y,Y
05011,BRADLEY,AR,Y,Y,Y
05013,CALHOUN,AR,Y,Y,Y
05015,CARROLL,AR,Y,Y,Y
05017,CHICOT,AR,Y,Y,Y
05019,CLARK,AR,Y,Y,Y
05021,CLAY,AR,Y,Y,Y
05023,CLEBURNE,AR,Y,Y,Y
05025,CLEVELAND,AR,Y,Y,Y
05027,COLUMBIA,AR,Y,Y,Y
05029,CONWAY,AR,Y,Y,Y
05031,CRAIGHEAD,AR,Y,Y,Y
05033,CRAWFORD,AR,Y,Y,Y
05035,CRITTENDEN,AR,Y,Y,Y
05037,CROSS,AR,Y,Y,Y
05039,DALLAS,AR,Y,Y,Y
05041,DESHA,AR,Y,Y,Y
05043,DREW,AR,Y,Y,Y
05045,FAULKNER,AR,Y,Y,Y
05047,FRANKLIN,AR,Y,Y,Y
05049,FULTON,AR,Y,Y,Y
05051,GARLAND,AR,Y,Y,Y
05053,GRANT,AR,Y,Y,Y
05055,GREENE,AR,Y,Y,Y
05057,HEMPSTEAD,AR,Y,Y,Y
05059,HOT SPRING,AR,Y,Y,Y
